日期,利率,涨跌,品类
2021-10-08,0.0726,0.238,隔夜
2021-09-29,0.0703,-0.138,隔夜
2021-09-28,0.0716,0.125,隔夜
2021-09-27,0.0704,-0.212,隔夜
2021-09-24,0.0725,0.062,隔夜
2021-09-23,0.0719,-0.062,隔夜
2021-09-22,0.0725,0.575,隔夜
2021-09-21,0.0668,-0.513,隔夜
2021-09-20,0.0719,0.113,隔夜
2021-09-17,0.0708,-0.35,隔夜
2021-09-16,0.0743,0.212,隔夜
2021-09-15,0.0721,0.025,隔夜
2021-09-14,0.0719,-0.15,隔夜
2021-09-13,0.0734,0.175,隔夜
2021-09-10,0.0716,-0.025,隔夜
2021-09-09,0.0719,0.225,隔夜
2021-09-08,0.0696,-0.325,隔夜
2021-09-07,0.0729,0.213,隔夜
2021-09-03,0.0708,-0.275,隔夜
2021-09-02,0.0735,0.062,隔夜
2021-09-01,0.0729,-0.05,隔夜
2021-08-31,0.0734,-0.275,隔夜
2021-08-27,0.0761,0.038,隔夜
2021-08-26,0.0758,-0.063,隔夜
2021-08-25,0.0764,-0.125,隔夜
2021-08-24,0.0776,-0.012,隔夜
2021-08-23,0.0778,0.037,隔夜
2021-08-20,0.0774,-0.112,隔夜
2021-08-19,0.0785,-0.013,隔夜
2021-08-18,0.0786,0.075,隔夜
2021-08-17,0.0779,-0.037,隔夜
2021-08-16,0.0783,0.062,隔夜
2021-08-13,0.0776,-0.037,隔夜
2021-08-12,0.078,-0.063,隔夜
2021-08-11,0.0786,0.0,隔夜
2021-08-10,0.0786,-0.012,隔夜
2021-08-09,0.0788,0.025,隔夜
2021-08-06,0.0785,-0.05,隔夜
2021-08-05,0.079,-0.25,隔夜
2021-08-04,0.0815,0.012,隔夜
2021-08-03,0.0814,0.188,隔夜
2021-08-02,0.0795,0.262,隔夜
2021-07-30,0.0769,-0.25,隔夜
2021-07-29,0.0794,-0.025,隔夜
2021-07-28,0.0796,-0.125,隔夜
2021-07-27,0.0809,-0.012,隔夜
2021-07-26,0.081,0.087,隔夜
2021-07-23,0.0801,-0.325,隔夜
2021-07-22,0.0834,-0.05,隔夜
2021-07-21,0.0839,-0.162,隔夜
2021-07-20,0.0855,-0.05,隔夜
2021-07-19,0.086,0.025,隔夜
2021-07-16,0.0858,0.012,隔夜
2021-07-15,0.0856,0.025,隔夜
2021-07-14,0.0854,-0.025,隔夜
2021-07-13,0.0856,-0.112,隔夜
2021-07-12,0.0868,0.012,隔夜
2021-07-09,0.0866,0.05,隔夜
2021-07-08,0.0861,0.1,隔夜
2021-07-07,0.0851,0.35,隔夜
2021-07-06,0.0816,0.113,隔夜
2021-07-02,0.0805,0.0,隔夜
2021-07-01,0.0805,-0.6,隔夜
2021-06-30,0.0865,0.337,隔夜
2021-06-29,0.0831,-0.062,隔夜
2021-06-28,0.0838,0.037,隔夜
2021-06-25,0.0834,-0.162,隔夜
2021-06-24,0.085,-0.025,隔夜
2021-06-23,0.0853,-0.013,隔夜
2021-06-22,0.0854,0.063,隔夜
2021-06-21,0.0848,0.425,隔夜
2021-06-18,0.0805,1.725,隔夜
2021-06-17,0.0633,0.775,隔夜
2021-06-16,0.0555,-0.063,隔夜
2021-06-15,0.0561,0.075,隔夜
2021-06-14,0.0554,0.0,隔夜
2021-06-11,0.0554,-0.037,隔夜
2021-06-10,0.0558,0.112,隔夜
2021-06-09,0.0546,-0.037,隔夜
2021-06-08,0.055,0.0,隔夜
2021-06-07,0.055,-0.013,隔夜
2021-06-04,0.0551,0.05,隔夜
2021-06-03,0.0546,-0.037,隔夜
2021-06-02,0.055,0.075,隔夜
2021-06-01,0.0543,-0.688,隔夜
2021-05-28,0.0611,0.413,隔夜
2021-05-27,0.057,-0.188,隔夜
2021-05-26,0.0589,-0.175,隔夜
2021-05-25,0.0606,0.138,隔夜
2021-05-24,0.0593,-0.05,隔夜
2021-05-21,0.0598,-0.138,隔夜
2021-05-20,0.0611,-0.05,隔夜
2021-05-19,0.0616,-0.125,隔夜
2021-05-18,0.0629,0.05,隔夜
2021-05-17,0.0624,0.038,隔夜
2021-05-14,0.062,-0.025,隔夜
2021-05-13,0.0623,0.225,隔夜
2021-05-12,0.06,-0.063,隔夜
2021-05-11,0.0606,-0.275,隔夜
2021-05-10,0.0634,-0.075,隔夜
2021-05-07,0.0641,-0.012,隔夜
2021-05-06,0.0643,-0.363,隔夜
2021-05-05,0.0679,0.338,隔夜
2021-05-04,0.0645,-0.675,隔夜
2021-04-30,0.0713,-0.15,隔夜
2021-04-29,0.0728,-0.038,隔夜
2021-04-28,0.0731,-0.087,隔夜
2021-04-27,0.074,0.025,隔夜
2021-04-26,0.0738,0.037,隔夜
2021-04-23,0.0734,0.0,隔夜
2021-04-22,0.0734,0.125,隔夜
2021-04-21,0.0721,-0.075,隔夜
2021-04-20,0.0729,0.013,隔夜
2021-04-19,0.0728,0.0,隔夜
2021-04-16,0.0728,-0.05,隔夜
2021-04-15,0.0733,-0.038,隔夜
2021-04-14,0.0736,-0.112,隔夜
2021-04-13,0.0748,0.125,隔夜
2021-04-12,0.0735,-0.125,隔夜
2021-04-09,0.0748,-0.013,隔夜
2021-04-08,0.0749,-0.137,隔夜
2021-04-07,0.0763,-0.163,隔夜
2021-04-06,0.0779,0.313,隔夜
2021-04-01,0.0748,-0.588,隔夜
2021-03-31,0.0806,0.363,隔夜
2021-03-30,0.077,0.412,隔夜
2021-03-29,0.0729,-0.05,隔夜
2021-03-26,0.0734,-0.212,隔夜
2021-03-25,0.0755,-0.088,隔夜
2021-03-24,0.0764,-0.05,隔夜
2021-03-23,0.0769,0.025,隔夜
2021-03-22,0.0766,-0.025,隔夜
2021-03-19,0.0769,-0.187,隔夜
2021-03-18,0.0788,0.075,隔夜
2021-03-17,0.078,-0.05,隔夜
2021-03-16,0.0785,0.05,隔夜
2021-03-15,0.078,-0.013,隔夜
2021-03-12,0.0781,0.0,隔夜
2021-03-11,0.0781,0.088,隔夜
2021-03-10,0.0773,0.012,隔夜
2021-03-09,0.0771,-0.05,隔夜
2021-03-08,0.0776,0.0,隔夜
2021-03-05,0.0776,-0.05,隔夜
2021-03-04,0.0781,-0.037,隔夜
2021-03-03,0.0785,-0.038,隔夜
2021-03-02,0.0789,-0.062,隔夜
