open,high,low,close,volume,date
1316.455,1316.455,1316.455,1316.455,0.0,2002-01-04
1302.084,1302.084,1302.084,1302.084,0.0,2002-01-07
1292.714,1292.714,1292.714,1292.714,0.0,2002-01-08
1272.645,1272.645,1272.645,1272.645,0.0,2002-01-09
1281.261,1281.261,1281.261,1281.261,0.0,2002-01-10
1249.814,1249.814,1249.814,1249.814,0.0,2002-01-11
1205.146,1205.146,1205.146,1205.146,0.0,2002-01-14
1186.433,1186.433,1186.433,1186.433,0.0,2002-01-15
1201.877,1201.877,1201.877,1201.877,0.0,2002-01-16
1152.148,1152.148,1152.148,1152.148,0.0,2002-01-17
1149.483,1149.483,1149.483,1149.483,0.0,2002-01-18
1108.61,1108.61,1108.61,1108.61,0.0,2002-01-21
1109.994,1109.994,1109.994,1109.994,0.0,2002-01-22
1183.154,1183.154,1183.154,1183.154,0.0,2002-01-23
1189.583,1189.583,1189.583,1189.583,0.0,2002-01-24
1189.428,1189.428,1189.428,1189.428,0.0,2002-01-25
1112.835,1112.835,1112.835,1112.835,0.0,2002-01-28
1140.377,1140.377,1140.377,1140.377,0.0,2002-01-29
1145.855,1145.855,1145.855,1145.855,0.0,2002-01-30
1221.76,1221.76,1221.76,1221.76,0.0,2002-01-31
1215.743,1215.743,1215.743,1215.743,0.0,2002-02-01
1236.969,1236.969,1236.969,1236.969,0.0,2002-02-04
1246.842,1246.842,1246.842,1246.842,0.0,2002-02-05
1216.788,1216.788,1216.788,1216.788,0.0,2002-02-06
1241.023,1241.023,1241.023,1241.023,0.0,2002-02-07
1235.092,1235.092,1235.092,1235.092,0.0,2002-02-08
1254.611,1254.611,1254.611,1254.611,0.0,2002-02-25
1253.121,1253.121,1253.121,1253.121,0.0,2002-02-26
1255.997,1255.997,1255.997,1255.997,0.0,2002-02-27
1244.603,1244.603,1244.603,1244.603,0.0,2002-02-28
1227.229,1227.229,1227.229,1227.229,0.0,2002-03-01
1245.867,1245.867,1245.867,1245.867,0.0,2002-03-04
1275.614,1275.614,1275.614,1275.614,0.0,2002-03-05
1288.444,1288.444,1288.444,1288.444,0.0,2002-03-06
1328.388,1328.388,1328.388,1328.388,0.0,2002-03-07
1351.854,1351.854,1351.854,1351.854,0.0,2002-03-08
1377.037,1377.037,1377.037,1377.037,0.0,2002-03-11
1362.404,1362.404,1362.404,1362.404,0.0,2002-03-12
1343.138,1343.138,1343.138,1343.138,0.0,2002-03-13
1376.329,1376.329,1376.329,1376.329,0.0,2002-03-14
1338.702,1338.702,1338.702,1338.702,0.0,2002-03-15
1341.907,1341.907,1341.907,1341.907,0.0,2002-03-18
1368.378,1368.378,1368.378,1368.378,0.0,2002-03-19
1382.417,1382.417,1382.417,1382.417,0.0,2002-03-20
1385.79,1385.79,1385.79,1385.79,0.0,2002-03-21
1369.901,1369.901,1369.901,1369.901,0.0,2002-03-22
1373.012,1373.012,1373.012,1373.012,0.0,2002-03-25
1350.009,1350.009,1350.009,1350.009,0.0,2002-03-26
1354.098,1354.098,1354.098,1354.098,0.0,2002-03-27
1352.533,1352.533,1352.533,1352.533,0.0,2002-03-28
1313.466,1313.466,1313.466,1313.466,0.0,2002-03-29
1317.579,1317.579,1317.579,1317.579,0.0,2002-04-01
1296.574,1296.574,1296.574,1296.574,0.0,2002-04-02
1302.248,1302.248,1302.248,1302.248,0.0,2002-04-03
1337.728,1337.728,1337.728,1337.728,0.0,2002-04-04
1332.201,1332.201,1332.201,1332.201,0.0,2002-04-05
1333.705,1333.705,1333.705,1333.705,0.0,2002-04-08
1357.742,1357.742,1357.742,1357.742,0.0,2002-04-09
1366.716,1366.716,1366.716,1366.716,0.0,2002-04-10
1344.734,1344.734,1344.734,1344.734,0.0,2002-04-11
1350.689,1350.689,1350.689,1350.689,0.0,2002-04-12
1344.581,1344.581,1344.581,1344.581,0.0,2002-04-15
1341.502,1341.502,1341.502,1341.502,0.0,2002-04-16
1341.766,1341.766,1341.766,1341.766,0.0,2002-04-17
1326.546,1326.546,1326.546,1326.546,0.0,2002-04-18
1330.642,1330.642,1330.642,1330.642,0.0,2002-04-19
1324.867,1324.867,1324.867,1324.867,0.0,2002-04-22
1318.661,1318.661,1318.661,1318.661,0.0,2002-04-23
1309.727,1309.727,1309.727,1309.727,0.0,2002-04-24
1312.483,1312.483,1312.483,1312.483,0.0,2002-04-25
1331.714,1331.714,1331.714,1331.714,0.0,2002-04-26
1349.785,1349.785,1349.785,1349.785,0.0,2002-04-29
