date,future,index,PF
2017-01-17,3315.4,3326.356,16.4
2017-01-18,3345.0,3339.365,16.48
2017-01-19,3326.0,3329.289,16.54
2017-01-20,3353.0,3354.889,16.6
2017-01-23,3352.0,3364.081,16.57
2017-01-24,3353.4,3364.451,16.69
2017-01-25,3369.2,3375.904,16.69
2017-01-26,3377.6,3387.961,16.74
2017-02-03,3357.0,3364.492,16.63
2017-02-06,3354.0,3373.205,16.66
2017-02-07,3349.0,3365.685,16.67
2017-02-08,3369.4,3383.288,16.67
2017-02-09,3380.6,3396.292,16.72
2017-02-10,3402.0,3413.487,16.78
2017-02-13,3419.0,3436.275,16.85
2017-02-14,3419.4,3435.804,16.75
2017-02-15,3410.2,3421.713,16.84
2017-02-16,3432.4,3440.933,16.78
2017-02-17,3392.4,3421.442,16.64
2017-02-20,3462.6,3471.393,16.91
2017-02-21,3459.2,3482.823,16.88
2017-02-22,3467.0,3489.757,16.75
2017-02-23,3453.6,3473.324,16.69
2017-02-24,3453.0,3473.852,16.71
2017-02-27,3426.6,3446.223,16.59
2017-02-28,3429.4,3452.81,16.59
2017-03-01,3435.2,3458.438,16.56
2017-03-02,3418.0,3435.096,16.41
2017-03-03,3405.0,3427.863,16.35
2017-03-06,3422.0,3446.484,16.41
2017-03-07,3432.6,3453.957,16.43
2017-03-08,3430.4,3448.731,16.39
2017-03-09,3403.8,3426.944,16.22
2017-03-10,3406.6,3427.892,16.23
2017-03-13,3452.8,3458.098,16.34
2017-03-14,3446.0,3456.693,16.26
2017-03-15,3451.4,3463.644,16.24
2017-03-16,3481.4,3481.507,16.29
2017-03-17,3407.2,3445.805,16.2
2017-03-20,3417.6,3449.613,16.14
2017-03-21,3435.0,3466.347,16.0
2017-03-22,3421.4,3450.05,15.78
2017-03-23,3433.8,3461.978,15.88
2017-03-24,3483.4,3489.6,15.96
2017-03-27,3461.0,3478.039,16.04
2017-03-28,3458.0,3469.809,16.01
2017-03-29,3456.6,3465.193,15.87
2017-03-30,3431.6,3436.758,15.81
2017-03-31,3450.4,3456.046,16.01
2017-04-05,3507.2,3503.893,16.16
2017-04-06,3504.0,3514.047,16.1
2017-04-07,3510.6,3517.463,16.1
2017-04-10,3501.6,3505.139,15.97
2017-04-11,3505.0,3517.328,15.89
2017-04-12,3496.0,3509.439,15.89
2017-04-13,3508.6,3514.566,15.75
2017-04-14,3477.0,3486.505,15.51
2017-04-17,3472.4,3479.942,15.56
2017-04-18,3462.6,3462.743,15.3
2017-04-19,3440.0,3445.876,15.11
2017-04-20,3458.6,3461.548,14.91
2017-04-21,3441.2,3466.787,15.05
2017-04-24,3408.2,3431.259,15.0
2017-04-25,3422.6,3440.974,15.05
2017-04-26,3427.8,3445.183,15.05
2017-04-27,3426.8,3446.72,15.21
2017-04-28,3420.4,3439.753,15.21
2017-05-02,3407.4,3426.577,15.16
2017-05-03,3396.8,3413.128,15.08
2017-05-04,3383.4,3404.386,14.98
2017-05-05,3360.4,3382.55,14.92
2017-05-08,3339.4,3358.813,14.86
2017-05-09,3342.2,3352.532,14.76
2017-05-10,3323.8,3337.701,14.61
2017-05-11,3341.4,3356.646,14.75
2017-05-12,3367.2,3385.379,15.21
2017-05-15,3386.6,3399.194,15.27
2017-05-16,3431.0,3428.649,15.27
2017-05-17,3411.0,3409.966,15.21
2017-05-18,3392.4,3398.113,15.01
2017-05-19,3381.8,3403.849,15.02
2017-05-22,3382.2,3411.239,15.04
2017-05-23,3402.0,3424.194,15.43
2017-05-24,3402.0,3424.167,15.47
2017-05-25,3486.0,3485.658,12.93
2017-05-26,3480.6,3480.435,12.84
2017-05-31,3482.0,3492.885,12.84
2017-06-01,3489.0,3497.738,12.92
2017-06-02,3480.8,3486.507,12.89
2017-06-05,3456.6,3468.754,12.85
2017-06-06,3484.6,3492.882,12.8
2017-06-07,3533.0,3533.872,12.84
2017-06-08,3559.8,3560.979,12.84
2017-06-09,3578.6,3576.17,12.93
2017-06-12,3568.0,3574.389,12.78
2017-06-13,3576.2,3582.267,12.59
2017-06-14,3532.0,3535.299,12.46
2017-06-15,3524.0,3528.793,12.38
2017-06-16,3488.0,3518.761,12.35
2017-06-19,3530.0,3553.665,12.4
2017-06-20,3521.0,3546.494,12.29
2017-06-21,3558.4,3587.955,12.34
2017-06-22,3560.8,3590.343,12.57
2017-06-23,3597.4,3622.883,12.64
2017-06-26,3647.2,3668.092,12.64
2017-06-27,3650.4,3674.715,12.7
2017-06-28,3627.0,3646.167,12.79
2017-06-29,3649.0,3668.828,12.76
2017-06-30,3642.6,3666.798,12.65
2017-07-03,3625.8,3650.846,12.56
2017-07-04,3587.0,3619.984,12.55
2017-07-05,3640.8,3659.68,12.62
2017-07-06,3633.2,3660.097,12.66
2017-07-07,3627.2,3655.929,12.6
2017-07-10,3634.0,3653.687,12.53
2017-07-11,3661.8,3670.809,12.8
2017-07-12,3638.8,3658.824,12.86
2017-07-13,3679.2,3686.921,13.27
2017-07-14,3698.8,3703.094,13.59
2017-07-17,3649.8,3663.558,13.76
2017-07-18,3650.0,3667.181,13.55
2017-07-19,3729.4,3729.747,13.69
2017-07-20,3747.2,3747.884,13.62
2017-07-21,3738.0,3728.598,13.45
2017-07-24,3733.0,3743.469,13.67
2017-07-25,3704.8,3719.559,13.51
2017-07-26,3684.0,3705.388,13.38
2017-07-27,3690.6,3712.195,13.38
2017-07-28,3708.4,3721.891,13.47
2017-07-31,3722.2,3737.873,13.36
2017-08-01,3748.8,3770.383,13.43
2017-08-02,3753.4,3760.853,13.44
2017-08-03,3715.8,3727.826,13.08
2017-08-04,3692.0,3707.58,12.87
2017-08-07,3715.0,3726.795,12.93
2017-08-08,3717.4,3732.213,12.87
2017-08-09,3715.0,3731.044,12.76
2017-08-10,3701.0,3715.921,12.79
2017-08-11,3627.8,3647.35,12.68
2017-08-14,3681.4,3694.683,12.56
2017-08-15,3694.4,3706.057,12.59
2017-08-16,3689.6,3701.421,12.49
2017-08-17,3719.0,3721.277,12.53
2017-08-18,3705.0,3724.675,12.51
2017-08-21,3721.2,3740.994,12.51
2017-08-22,3732.6,3752.298,12.43
2017-08-23,3741.6,3756.088,12.57
2017-08-24,3724.0,3734.646,12.47
2017-08-25,3794.8,3795.754,12.78
2017-08-28,3843.8,3842.712,12.89
2017-08-29,3837.8,3834.538,12.96
2017-08-30,3834.2,3834.301,12.87
2017-08-31,3829.6,3822.093,12.71
2017-09-01,3837.8,3830.538,12.77
2017-09-04,3842.6,3845.616,12.78
2017-09-05,3854.2,3857.046,13.03
2017-09-06,3846.6,3849.45,12.96
2017-09-07,3828.2,3829.871,12.85
2017-09-08,3820.8,3825.99,13.03
2017-09-11,3831.4,3825.645,12.99
2017-09-12,3844.2,3837.934,13.04
2017-09-13,3844.2,3842.606,12.87
2017-09-14,3830.4,3829.955,12.85
2017-09-15,3834.2,3831.297,12.83
2017-09-18,3854.8,3843.143,12.91
2017-09-19,3823.8,3832.116,12.9
2017-09-20,3845.4,3842.435,12.88
2017-09-21,3837.2,3837.818,12.87
2017-09-22,3829.4,3837.73,12.89
2017-09-25,3801.4,3817.792,12.94
2017-09-26,3813.8,3820.782,12.86
2017-09-27,3819.8,3821.2,12.85
2017-09-28,3831.0,3822.539,12.84
2017-09-29,3849.2,3836.501,12.87
2017-10-10,3893.0,3889.864,13.1
2017-10-11,3902.2,3902.687,13.06
2017-10-12,3916.0,3912.954,13.05
2017-10-13,3933.0,3921.002,12.94
2017-10-16,3918.0,3913.446,13.04
2017-10-17,3911.0,3913.069,12.99
2017-10-18,3930.8,3944.163,13.07
2017-10-19,3922.6,3931.25,13.13
2017-10-20,3911.8,3926.852,13.01
2017-10-23,3922.0,3930.798,12.84
2017-10-24,3945.6,3959.395,12.86
2017-10-25,3967.0,3976.949,12.9
2017-10-26,3993.8,3993.575,12.82
2017-10-27,4021.8,4021.968,12.85
