date,future,index
2017-01-17,3315.4,3326.356
2017-01-18,3345.0,3339.365
2017-01-19,3326.0,3329.289
2017-01-20,3353.0,3354.889
2017-01-23,3352.0,3364.081
2017-01-24,3353.4,3364.451
2017-01-25,3369.2,3375.904
2017-01-26,3377.6,3387.961
2017-02-03,3357.0,3364.492
2017-02-06,3354.0,3373.205
2017-02-07,3349.0,3365.685
2017-02-08,3369.4,3383.288
2017-02-09,3380.6,3396.292
2017-02-10,3402.0,3413.487
2017-02-13,3419.0,3436.275
2017-02-14,3419.4,3435.804
2017-02-15,3410.2,3421.713
2017-02-16,3432.4,3440.933
2017-02-17,3392.4,3421.442
2017-02-20,3462.6,3471.393
2017-02-21,3459.2,3482.823
2017-02-22,3467.0,3489.757
2017-02-23,3453.6,3473.324
2017-02-24,3453.0,3473.852
2017-02-27,3426.6,3446.223
2017-02-28,3429.4,3452.81
2017-03-01,3435.2,3458.438
2017-03-02,3418.0,3435.096
2017-03-03,3405.0,3427.863
2017-03-06,3422.0,3446.484
2017-03-07,3432.6,3453.957
2017-03-08,3430.4,3448.731
2017-03-09,3403.8,3426.944
2017-03-10,3406.6,3427.892
2017-03-13,3452.8,3458.098
2017-03-14,3446.0,3456.693
2017-03-15,3451.4,3463.644
2017-03-16,3481.4,3481.507
2017-03-17,3407.2,3445.805
2017-03-20,3417.6,3449.613
2017-03-21,3435.0,3466.347
2017-03-22,3421.4,3450.05
2017-03-23,3433.8,3461.978
2017-03-24,3483.4,3489.6
2017-03-27,3461.0,3478.039
2017-03-28,3458.0,3469.809
2017-03-29,3456.6,3465.193
2017-03-30,3431.6,3436.758
2017-03-31,3450.4,3456.046
2017-04-05,3507.2,3503.893
2017-04-06,3504.0,3514.047
2017-04-07,3510.6,3517.463
2017-04-10,3501.6,3505.139
2017-04-11,3505.0,3517.328
2017-04-12,3496.0,3509.439
2017-04-13,3508.6,3514.566
2017-04-14,3477.0,3486.505
2017-04-17,3472.4,3479.942
2017-04-18,3462.6,3462.743
2017-04-19,3440.0,3445.876
2017-04-20,3458.6,3461.548
2017-04-21,3441.2,3466.787
2017-04-24,3408.2,3431.259
2017-04-25,3422.6,3440.974
2017-04-26,3427.8,3445.183
2017-04-27,3426.8,3446.72
2017-04-28,3420.4,3439.753
2017-05-02,3407.4,3426.577
2017-05-03,3396.8,3413.128
2017-05-04,3383.4,3404.386
2017-05-05,3360.4,3382.55
2017-05-08,3339.4,3358.813
2017-05-09,3342.2,3352.532
2017-05-10,3323.8,3337.701
2017-05-11,3341.4,3356.646
2017-05-12,3367.2,3385.379
2017-05-15,3386.6,3399.194
2017-05-16,3431.0,3428.649
2017-05-17,3411.0,3409.966
2017-05-18,3392.4,3398.113
2017-05-19,3381.8,3403.849
2017-05-22,3382.2,3411.239
2017-05-23,3402.0,3424.194
2017-05-24,3402.0,3424.167
2017-05-25,3486.0,3485.658
2017-05-26,3480.6,3480.435
