back_test_date,cal_beta_date,hold_period,Hedge_return,Stock_retrun,Future_retrun
10,5,5,30866.286932933635,35999.99999999994,-5133.713067066307
10,10,5,22421.77050243358,35999.99999999994,-13578.229497566359
10,15,5,31075.969736111016,35999.99999999994,-4924.030263888926
10,20,5,31315.4519180028,35999.99999999994,-4684.548081997141
10,25,5,30702.596070459815,35999.99999999994,-5297.403929540128
10,30,5,30341.6094558854,35999.99999999994,-5658.390544114543
10,35,5,27117.947285142996,35999.99999999994,-8882.052714856944
10,40,5,26802.25793363352,35999.99999999994,-9197.742066366422
10,45,5,26642.772949266757,35999.99999999994,-9357.227050733185
10,50,5,26656.526473800433,35999.99999999994,-9343.473526199507
10,55,5,26702.872180994782,35999.99999999994,-9297.127819005162
10,60,5,27067.50719469288,35999.99999999994,-8932.492805307063
10,65,5,27091.510658630905,35999.99999999994,-8908.489341369035
10,70,5,27412.359396277978,35999.99999999994,-8587.640603721962
10,75,5,26397.60373004634,35999.99999999994,-9602.396269953602
10,80,5,26329.074417193628,35999.99999999994,-9670.925582806314
10,85,5,26123.49362651836,35999.99999999994,-9876.506373481581
10,90,5,24910.61737763365,35999.99999999994,-11089.38262236629
10,95,5,24923.89355912804,35999.99999999994,-11076.106440871901
10,100,5,25195.791023505742,35999.99999999994,-10804.2089764942
10,105,5,25892.393928747577,35999.99999999994,-10107.606071252365
10,110,5,26524.28891190255,35999.99999999994,-9475.71108809739
10,115,5,25971.729404968533,35999.99999999994,-10028.270595031408
10,120,5,25023.736854828443,35999.99999999994,-10976.263145171499
10,125,5,25539.382029928136,35999.99999999994,-10460.617970071804
10,130,5,25292.03055059317,35999.99999999994,-10707.969449406773
10,135,5,24477.84963216864,35999.99999999994,-11522.150367831302
10,140,5,24538.13738871795,35999.99999999994,-11461.862611281993
10,145,5,24926.830499549375,35999.99999999994,-11073.169500450565
10,150,5,24930.930806533295,35999.99999999994,-11069.069193466645
10,155,5,25310.26081544482,35999.99999999994,-10689.739184555121
10,160,5,25586.051314259075,35999.99999999994,-10413.948685740866
10,165,5,25669.569708268355,35999.99999999994,-10330.430291731587
10,170,5,25697.51038993408,35999.99999999994,-10302.489610065863
10,175,5,25653.04083621934,35999.99999999994,-10346.959163780599
10,180,5,25637.875614894838,35999.99999999994,-10362.124385105106
10,185,5,25510.54407368452,35999.99999999994,-10489.45592631542
10,190,5,25104.453968312864,35999.99999999994,-10895.546031687078
10,195,5,24833.548350307734,35999.99999999994,-11166.451649692206
15,5,5,24208.58804554819,50000.0,-25791.41195445181
15,5,10,46804.58416849,85999.99999999994,-39195.41583150994
15,10,5,44060.31712809834,50000.0,-5939.682871901662
15,10,10,76973.41624868663,85999.99999999994,-9026.583751313321
15,15,5,44979.583161759845,50000.0,-5020.416838240158
15,15,10,78370.43222101017,85999.99999999994,-7629.56777898978
15,20,5,41590.93038404586,50000.0,-8409.069615954144
15,20,10,73220.66938655723,85999.99999999994,-12779.330613442711
15,25,5,39877.96591558524,50000.0,-10122.034084414754
15,25,10,70617.46353010833,85999.99999999994,-15382.536469891606
15,30,5,33858.484076150315,50000.0,-16141.515923849685
15,30,10,61469.60864711307,85999.99999999994,-24530.391352886872
15,35,5,32972.547599760845,50000.0,-17027.452400239155
15,35,10,60123.24387058543,85999.99999999994,-25876.756129414516
15,40,5,32473.15659989554,50000.0,-17526.84340010446
15,40,10,59364.31535838136,85999.99999999994,-26635.68464161858
15,45,5,32436.84608814823,50000.0,-17563.15391185177
15,45,10,59309.13398213472,85999.99999999994,-26690.866017865224
15,50,5,32430.28682925064,50000.0,-17569.71317074936
15,50,10,59299.16582372247,85999.99999999994,-26700.834176277473
15,55,5,33171.25709703886,50000.0,-16828.74290296114
15,55,10,60425.224289076534,85999.99999999994,-25574.775710923404
15,60,5,33267.43650838932,50000.0,-16732.56349161068
15,60,10,60571.38891274929,85999.99999999994,-25428.611087250658
15,65,5,33910.86643477591,50000.0,-16089.13356522409
15,65,10,61549.214538104665,85999.99999999994,-24450.785461895277
15,70,5,31667.08993252535,50000.0,-18332.91006747465
15,70,10,58139.329371910746,85999.99999999994,-27860.670628089192
15,75,5,31538.896167319832,50000.0,-18461.103832680168
15,75,10,57944.512277634916,85999.99999999994,-28055.487722365022
15,80,5,31020.38185304331,50000.0,-18979.61814695669
15,80,10,57156.52191097528,85999.99999999994,-28843.478089024666
15,85,5,28615.301705754184,50000.0,-21384.698294245816
15,85,10,53501.5023002775,85999.99999999994,-32498.497699722448
15,90,5,28674.5698823537,50000.0,-21325.4301176463
15,90,10,53591.57262413165,85999.99999999994,-32408.42737586829
15,95,5,29202.365314851522,50000.0,-20797.634685148478
15,95,10,54393.66758067214,85999.99999999994,-31606.332419327802
15,100,5,30605.657001008934,50000.0,-19394.342998991066
15,100,10,56526.261223431065,85999.99999999994,-29473.738776568876
15,105,5,31894.621207963446,50000.0,-18105.378792036554
15,105,10,58485.110478087474,85999.99999999994,-27514.889521912464
15,110,5,30746.000446435923,50000.0,-19253.999553564077
15,110,10,56739.54228429164,85999.99999999994,-29260.457715708304
15,115,5,28874.2025863652,50000.0,-21125.7974136348
15,115,10,53894.95604730825,85999.99999999994,-32105.04395269169
15,120,5,29861.388591009698,50000.0,-20138.611408990302
15,120,10,55395.19054487748,85999.99999999994,-30604.80945512246
15,125,5,29361.961383058235,50000.0,-20638.038616941765
15,125,10,54636.207006954166,85999.99999999994,-31363.79299304578
15,130,5,27770.037739662348,50000.0,-22229.962260337652
15,130,10,52216.947864216774,85999.99999999994,-33783.05213578317
15,135,5,27884.012043923496,50000.0,-22115.987956076504
15,135,10,52390.155529524585,85999.99999999994,-33609.84447047536
15,140,5,28624.501056863424,50000.0,-21375.498943136576
15,140,10,53515.48262802161,85999.99999999994,-32484.51737197833
15,145,5,28606.059983454026,50000.0,-21393.940016545974
15,145,10,53487.45758069434,85999.99999999994,-32512.542419305602
15,150,5,29375.844707783188,50000.0,-20624.155292216812
15,150,10,54657.305607010625,85999.99999999994,-31342.69439298932
15,155,5,29904.688223392626,50000.0,-20095.311776607374
15,155,10,55460.9933438711,85999.99999999994,-30539.00665612884
15,160,5,30064.220364312703,50000.0,-19935.779635687297
15,160,10,55703.43561934234,85999.99999999994,-30296.564380657604
15,165,5,30112.66510232263,50000.0,-19887.33489767737
15,165,10,55777.05747666838,85999.99999999994,-30222.942523331563
15,170,5,30031.05677291115,50000.0,-19968.94322708885
15,170,10,55653.03664321239,85999.99999999994,-30346.96335678755
15,175,5,29999.87704708459,50000.0,-20000.12295291541
15,175,10,55605.6525635256,85999.99999999994,-30394.347436474345
15,180,5,29758.34192559073,50000.0,-20241.65807440927
15,180,10,55238.58970005829,85999.99999999994,-30761.41029994165
15,185,5,28963.039298563734,50000.0,-21036.960701436266
15,185,10,54029.96191212383,85999.99999999994,-31970.038087876113
15,190,5,28428.245258344778,50000.0,-21571.754741655222
15,190,10,53217.23111523634,85999.99999999994,-32782.7688847636
15,195,5,28132.727104929803,50000.0,-21867.272895070197
15,195,10,52768.129804718104,85999.99999999994,-33231.87019528184
20,5,5,-48046.86462046199,-47999.99999999969,-46.86462046229814
20,5,10,2454.7332704235423,2000.0000000003126,454.7332704232295
20,5,15,38715.41772174501,38000.000000000255,715.4177217447585
